smru_platform_code,instr_id,year,period,continuous,prefix
ct96-02-13,12554,2013,moult,0,NaN
ct96-03-13,12555,2013,moult,0,NaN
ct96-09-13,12564,2013,moult,0,NaN
ct96-10-13,12565,2013,moult,0,NaN
ct96-16-13,12569,2013,moult,0,NaN
ct96-20-13,12603,2013,moult,0,NaN
ct96-29-13,12617,2013,moult,0,NaN
ct96-23-13,12622,2013,moult,0,NaN
ct96-18-13,12623,2013,moult,0,NaN
ct96-22-13,12630,2013,moult,0,NaN
ct96-21-13,12632,2013,moult,0,NaN
ct96-28-13,12663,2013,moult,0,NaN
ct96-24-13,12664,2013,moult,0,NaN
ct96-25-13,12665,2013,moult,0,NaN
ct98-39-13,12635,2014,moult,0,NaN
ct98-42-13,12638,2014,moult,0,NaN
ct98-31-13,12688,2014,moult,0,NaN
ct98-35-13,12690,2014,moult,0,NaN
ct98-43-13,12693,2014,moult,0,NaN
ct98-46-13,12694,2014,moult,0,NaN
ct98-34-13,12695,2014,moult,0,NaN
ct98-49-13,12698,2014,moult,0,NaN
ct98-33-13,12699,2014,moult,0,NaN
ct98-32-13,12700,2014,moult,0,NaN
ft07-Cy28-11,11548,2011,moult,0,NaN
ft07-Cy26-11,11617,2011,moult,0,NaN
ft11-Cy30b-12,11550,2012,moult,0,NaN
ft10-Cy34-11,12076,2011,reproduction,0,NaN
ft10-Cy35-11,12078,2011,reproduction,0,NaN
ft10-Ox04-11,12116,2011,reproduction,0,NaN
ft10-Ox05-11,12117,2011,reproduction,0,NaN
ft10-Ox03-11,12119,2011,reproduction,0,NaN
ct82-263-11,11263,2011,reproduction,0,NaN
ft14-F1-13,12454,2013,reproduction,0,NaN
ft14-F2-13,12453,2013,reproduction,0,NaN
ft14-F4-13,12451,2013,reproduction,0,NaN
ft14-C2-13,12552,2013,reproduction,0,NaN
ft18-F2-12,12453,2014,reproduction,0,NaN
ft18-F4-12,12451,2014,reproduction,0,NaN
ct112-050-14,13050,2014,reproduction,1,NaN
